naics,category
441,Motor Vehicle and Parts Dealers
442,Furniture and Home Furnishings Stores
443,Electronics and Appliance Stores
444,Building Material and Garden Equipment Dealers
445,Food and Beverage Stores
446,Health and Personal Care Stores
447,Gasoline Stations
448,Clothing and Clothing Accessories Stores
451,Sporting Goods Hobby Musical Instrument and Book Stores
452,General Merchandise Stores
453,Miscellaneous Store Retailers
TOTAL,Total Retail Sales Excluding Nonstore Retailers
