fips,stateabbr,naics,month_code,coverage_measure,year,month_number,date,coverage_score
10,DE,448,cov201901,A,2019,1,2019-01-01,4.0
10,DE,451,cov201901,D,2019,1,2019-01-01,1.0
10,DE,452,cov201901,C,2019,1,2019-01-01,2.0
10,DE,453,cov201901,A,2019,1,2019-01-01,4.0
10,DE,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
11,DC,441,cov201901,A,2019,1,2019-01-01,4.0
11,DC,442,cov201901,A,2019,1,2019-01-01,4.0
11,DC,443,cov201901,A,2019,1,2019-01-01,4.0
11,DC,444,cov201901,A,2019,1,2019-01-01,4.0
11,DC,445,cov201901,D,2019,1,2019-01-01,1.0
11,DC,446,cov201901,A,2019,1,2019-01-01,4.0
11,DC,447,cov201901,S,2019,1,2019-01-01,
11,DC,448,cov201901,A,2019,1,2019-01-01,4.0
11,DC,451,cov201901,B,2019,1,2019-01-01,3.0
11,DC,452,cov201901,C,2019,1,2019-01-01,2.0
11,DC,453,cov201901,A,2019,1,2019-01-01,4.0
11,DC,TOTAL,cov201901,D,2019,1,2019-01-01,1.0
12,FL,441,cov201901,B,2019,1,2019-01-01,3.0
12,FL,442,cov201901,B,2019,1,2019-01-01,3.0
12,FL,443,cov201901,A,2019,1,2019-01-01,4.0
12,FL,444,cov201901,A,2019,1,2019-01-01,4.0
12,FL,445,cov201901,D,2019,1,2019-01-01,1.0
12,FL,446,cov201901,A,2019,1,2019-01-01,4.0
12,FL,447,cov201901,A,2019,1,2019-01-01,4.0
12,FL,448,cov201901,A,2019,1,2019-01-01,4.0
12,FL,451,cov201901,A,2019,1,2019-01-01,4.0
12,FL,452,cov201901,D,2019,1,2019-01-01,1.0
12,FL,453,cov201901,B,2019,1,2019-01-01,3.0
12,FL,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
13,GA,441,cov201901,B,2019,1,2019-01-01,3.0
13,GA,442,cov201901,A,2019,1,2019-01-01,4.0
13,GA,443,cov201901,A,2019,1,2019-01-01,4.0
13,GA,444,cov201901,A,2019,1,2019-01-01,4.0
13,GA,445,cov201901,B,2019,1,2019-01-01,3.0
13,GA,446,cov201901,A,2019,1,2019-01-01,4.0
13,GA,447,cov201901,A,2019,1,2019-01-01,4.0
13,GA,448,cov201901,A,2019,1,2019-01-01,4.0
13,GA,451,cov201901,B,2019,1,2019-01-01,3.0
13,GA,452,cov201901,D,2019,1,2019-01-01,1.0
13,GA,453,cov201901,C,2019,1,2019-01-01,2.0
13,GA,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
15,HI,441,cov201901,B,2019,1,2019-01-01,3.0
15,HI,442,cov201901,A,2019,1,2019-01-01,4.0
15,HI,443,cov201901,A,2019,1,2019-01-01,4.0
15,HI,444,cov201901,D,2019,1,2019-01-01,1.0
15,HI,445,cov201901,D,2019,1,2019-01-01,1.0
15,HI,446,cov201901,A,2019,1,2019-01-01,4.0
15,HI,447,cov201901,C,2019,1,2019-01-01,2.0
15,HI,448,cov201901,A,2019,1,2019-01-01,4.0
15,HI,451,cov201901,A,2019,1,2019-01-01,4.0
15,HI,452,cov201901,A,2019,1,2019-01-01,4.0
15,HI,453,cov201901,A,2019,1,2019-01-01,4.0
15,HI,TOTAL,cov201901,C,2019,1,2019-01-01,2.0
16,ID,441,cov201901,A,2019,1,2019-01-01,4.0
16,ID,442,cov201901,A,2019,1,2019-01-01,4.0
16,ID,443,cov201901,A,2019,1,2019-01-01,4.0
16,ID,444,cov201901,A,2019,1,2019-01-01,4.0
16,ID,445,cov201901,B,2019,1,2019-01-01,3.0
16,ID,446,cov201901,A,2019,1,2019-01-01,4.0
16,ID,447,cov201901,A,2019,1,2019-01-01,4.0
16,ID,448,cov201901,A,2019,1,2019-01-01,4.0
16,ID,451,cov201901,A,2019,1,2019-01-01,4.0
16,ID,452,cov201901,C,2019,1,2019-01-01,2.0
16,ID,453,cov201901,B,2019,1,2019-01-01,3.0
16,ID,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
17,IL,441,cov201901,B,2019,1,2019-01-01,3.0
17,IL,442,cov201901,A,2019,1,2019-01-01,4.0
17,IL,443,cov201901,B,2019,1,2019-01-01,3.0
17,IL,444,cov201901,A,2019,1,2019-01-01,4.0
17,IL,445,cov201901,C,2019,1,2019-01-01,2.0
17,IL,446,cov201901,A,2019,1,2019-01-01,4.0
17,IL,447,cov201901,A,2019,1,2019-01-01,4.0
17,IL,448,cov201901,A,2019,1,2019-01-01,4.0
17,IL,451,cov201901,B,2019,1,2019-01-01,3.0
17,IL,452,cov201901,C,2019,1,2019-01-01,2.0
17,IL,453,cov201901,B,2019,1,2019-01-01,3.0
17,IL,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
18,IN,441,cov201901,A,2019,1,2019-01-01,4.0
18,IN,442,cov201901,A,2019,1,2019-01-01,4.0
18,IN,443,cov201901,A,2019,1,2019-01-01,4.0
18,IN,444,cov201901,A,2019,1,2019-01-01,4.0
18,IN,445,cov201901,A,2019,1,2019-01-01,4.0
18,IN,446,cov201901,A,2019,1,2019-01-01,4.0
18,IN,447,cov201901,A,2019,1,2019-01-01,4.0
18,IN,448,cov201901,A,2019,1,2019-01-01,4.0
18,IN,451,cov201901,A,2019,1,2019-01-01,4.0
18,IN,452,cov201901,C,2019,1,2019-01-01,2.0
18,IN,453,cov201901,B,2019,1,2019-01-01,3.0
18,IN,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
19,IA,441,cov201901,B,2019,1,2019-01-01,3.0
19,IA,442,cov201901,A,2019,1,2019-01-01,4.0
19,IA,443,cov201901,A,2019,1,2019-01-01,4.0
19,IA,444,cov201901,A,2019,1,2019-01-01,4.0
19,IA,445,cov201901,A,2019,1,2019-01-01,4.0
19,IA,446,cov201901,A,2019,1,2019-01-01,4.0
19,IA,447,cov201901,A,2019,1,2019-01-01,4.0
19,IA,448,cov201901,A,2019,1,2019-01-01,4.0
19,IA,451,cov201901,B,2019,1,2019-01-01,3.0
19,IA,452,cov201901,D,2019,1,2019-01-01,1.0
19,IA,453,cov201901,A,2019,1,2019-01-01,4.0
19,IA,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
20,KS,441,cov201901,A,2019,1,2019-01-01,4.0
20,KS,442,cov201901,A,2019,1,2019-01-01,4.0
20,KS,443,cov201901,A,2019,1,2019-01-01,4.0
20,KS,444,cov201901,A,2019,1,2019-01-01,4.0
20,KS,445,cov201901,A,2019,1,2019-01-01,4.0
20,KS,446,cov201901,A,2019,1,2019-01-01,4.0
20,KS,447,cov201901,A,2019,1,2019-01-01,4.0
20,KS,448,cov201901,A,2019,1,2019-01-01,4.0
20,KS,451,cov201901,A,2019,1,2019-01-01,4.0
20,KS,452,cov201901,D,2019,1,2019-01-01,1.0
20,KS,453,cov201901,C,2019,1,2019-01-01,2.0
20,KS,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
21,KY,441,cov201901,A,2019,1,2019-01-01,4.0
21,KY,442,cov201901,A,2019,1,2019-01-01,4.0
21,KY,443,cov201901,A,2019,1,2019-01-01,4.0
21,KY,444,cov201901,A,2019,1,2019-01-01,4.0
21,KY,445,cov201901,A,2019,1,2019-01-01,4.0
21,KY,446,cov201901,A,2019,1,2019-01-01,4.0
21,KY,447,cov201901,A,2019,1,2019-01-01,4.0
21,KY,448,cov201901,A,2019,1,2019-01-01,4.0
21,KY,451,cov201901,B,2019,1,2019-01-01,3.0
21,KY,452,cov201901,C,2019,1,2019-01-01,2.0
21,KY,453,cov201901,A,2019,1,2019-01-01,4.0
21,KY,TOTAL,cov201901,B,2019,1,2019-01-01,3.0
22,LA,441,cov201901,B,2019,1,2019-01-01,3.0
