fips,stateabbr,naics,month_code,yoy_growth,year,month_number,date
11,DC,442,yy201901,-3.4,2019,1,2019-01-01
11,DC,443,yy201901,-16.8,2019,1,2019-01-01
11,DC,444,yy201901,12.9,2019,1,2019-01-01
11,DC,445,yy201901,4.6,2019,1,2019-01-01
11,DC,446,yy201901,9.4,2019,1,2019-01-01
11,DC,447,yy201901,,2019,1,2019-01-01
11,DC,448,yy201901,4.2,2019,1,2019-01-01
11,DC,451,yy201901,-10.5,2019,1,2019-01-01
11,DC,452,yy201901,1.1,2019,1,2019-01-01
11,DC,453,yy201901,-11.2,2019,1,2019-01-01
11,DC,TOTAL,yy201901,4.5,2019,1,2019-01-01
12,FL,441,yy201901,-0.4,2019,1,2019-01-01
12,FL,442,yy201901,-1.0,2019,1,2019-01-01
12,FL,443,yy201901,-0.2,2019,1,2019-01-01
12,FL,444,yy201901,12.5,2019,1,2019-01-01
12,FL,445,yy201901,4.5,2019,1,2019-01-01
12,FL,446,yy201901,12.0,2019,1,2019-01-01
12,FL,447,yy201901,-7.2,2019,1,2019-01-01
12,FL,448,yy201901,3.1,2019,1,2019-01-01
12,FL,451,yy201901,0.1,2019,1,2019-01-01
12,FL,452,yy201901,-0.9,2019,1,2019-01-01
12,FL,453,yy201901,0.3,2019,1,2019-01-01
12,FL,TOTAL,yy201901,1.8,2019,1,2019-01-01
13,GA,441,yy201901,1.8,2019,1,2019-01-01
13,GA,442,yy201901,-0.3,2019,1,2019-01-01
13,GA,443,yy201901,1.5,2019,1,2019-01-01
13,GA,444,yy201901,14.9,2019,1,2019-01-01
13,GA,445,yy201901,4.2,2019,1,2019-01-01
13,GA,446,yy201901,-2.7,2019,1,2019-01-01
13,GA,447,yy201901,-5.0,2019,1,2019-01-01
13,GA,448,yy201901,8.2,2019,1,2019-01-01
13,GA,451,yy201901,0.0,2019,1,2019-01-01
13,GA,452,yy201901,4.3,2019,1,2019-01-01
13,GA,453,yy201901,3.3,2019,1,2019-01-01
13,GA,TOTAL,yy201901,2.5,2019,1,2019-01-01
15,HI,441,yy201901,-1.9,2019,1,2019-01-01
15,HI,442,yy201901,-3.0,2019,1,2019-01-01
15,HI,443,yy201901,-0.9,2019,1,2019-01-01
15,HI,444,yy201901,37.2,2019,1,2019-01-01
15,HI,445,yy201901,18.7,2019,1,2019-01-01
15,HI,446,yy201901,10.2,2019,1,2019-01-01
15,HI,447,yy201901,-27.6,2019,1,2019-01-01
15,HI,448,yy201901,1.4,2019,1,2019-01-01
15,HI,451,yy201901,-14.2,2019,1,2019-01-01
15,HI,452,yy201901,3.3,2019,1,2019-01-01
15,HI,453,yy201901,-3.7,2019,1,2019-01-01
15,HI,TOTAL,yy201901,7.9,2019,1,2019-01-01
16,ID,441,yy201901,-3.5,2019,1,2019-01-01
16,ID,442,yy201901,0.0,2019,1,2019-01-01
16,ID,443,yy201901,2.5,2019,1,2019-01-01
16,ID,444,yy201901,12.8,2019,1,2019-01-01
16,ID,445,yy201901,4.1,2019,1,2019-01-01
16,ID,446,yy201901,0.8,2019,1,2019-01-01
16,ID,447,yy201901,-1.4,2019,1,2019-01-01
16,ID,448,yy201901,1.5,2019,1,2019-01-01
16,ID,451,yy201901,-6.3,2019,1,2019-01-01
16,ID,452,yy201901,4.0,2019,1,2019-01-01
16,ID,453,yy201901,0.8,2019,1,2019-01-01
16,ID,TOTAL,yy201901,0.7,2019,1,2019-01-01
17,IL,441,yy201901,-1.6,2019,1,2019-01-01
17,IL,442,yy201901,-1.8,2019,1,2019-01-01
17,IL,443,yy201901,-0.4,2019,1,2019-01-01
17,IL,444,yy201901,9.7,2019,1,2019-01-01
17,IL,445,yy201901,7.8,2019,1,2019-01-01
17,IL,446,yy201901,12.7,2019,1,2019-01-01
17,IL,447,yy201901,-2.9,2019,1,2019-01-01
17,IL,448,yy201901,-3.2,2019,1,2019-01-01
17,IL,451,yy201901,-9.9,2019,1,2019-01-01
17,IL,452,yy201901,-3.1,2019,1,2019-01-01
17,IL,453,yy201901,-1.4,2019,1,2019-01-01
17,IL,TOTAL,yy201901,1.7,2019,1,2019-01-01
18,IN,441,yy201901,0.7,2019,1,2019-01-01
18,IN,442,yy201901,0.4,2019,1,2019-01-01
18,IN,443,yy201901,0.3,2019,1,2019-01-01
18,IN,444,yy201901,21.0,2019,1,2019-01-01
18,IN,445,yy201901,0.8,2019,1,2019-01-01
18,IN,446,yy201901,12.0,2019,1,2019-01-01
18,IN,447,yy201901,-10.2,2019,1,2019-01-01
18,IN,448,yy201901,-3.2,2019,1,2019-01-01
18,IN,451,yy201901,-5.6,2019,1,2019-01-01
18,IN,452,yy201901,-2.8,2019,1,2019-01-01
18,IN,453,yy201901,1.0,2019,1,2019-01-01
18,IN,TOTAL,yy201901,0.9,2019,1,2019-01-01
19,IA,441,yy201901,-2.0,2019,1,2019-01-01
19,IA,442,yy201901,0.0,2019,1,2019-01-01
19,IA,443,yy201901,17.3,2019,1,2019-01-01
19,IA,444,yy201901,13.4,2019,1,2019-01-01
19,IA,445,yy201901,7.2,2019,1,2019-01-01
19,IA,446,yy201901,10.7,2019,1,2019-01-01
19,IA,447,yy201901,-0.1,2019,1,2019-01-01
19,IA,448,yy201901,-3.2,2019,1,2019-01-01
19,IA,451,yy201901,-18.0,2019,1,2019-01-01
19,IA,452,yy201901,-0.5,2019,1,2019-01-01
19,IA,453,yy201901,2.0,2019,1,2019-01-01
19,IA,TOTAL,yy201901,2.1,2019,1,2019-01-01
20,KS,441,yy201901,-2.6,2019,1,2019-01-01
20,KS,442,yy201901,0.3,2019,1,2019-01-01
20,KS,443,yy201901,-6.5,2019,1,2019-01-01
20,KS,444,yy201901,8.7,2019,1,2019-01-01
20,KS,445,yy201901,3.8,2019,1,2019-01-01
20,KS,446,yy201901,12.7,2019,1,2019-01-01
20,KS,447,yy201901,-4.8,2019,1,2019-01-01
20,KS,448,yy201901,-0.3,2019,1,2019-01-01
20,KS,451,yy201901,-0.8,2019,1,2019-01-01
20,KS,452,yy201901,-1.9,2019,1,2019-01-01
20,KS,453,yy201901,0.6,2019,1,2019-01-01
20,KS,TOTAL,yy201901,0.2,2019,1,2019-01-01
21,KY,441,yy201901,0.5,2019,1,2019-01-01
21,KY,442,yy201901,-1.0,2019,1,2019-01-01
21,KY,443,yy201901,-0.2,2019,1,2019-01-01
21,KY,444,yy201901,11.9,2019,1,2019-01-01
21,KY,445,yy201901,0.0,2019,1,2019-01-01
21,KY,446,yy201901,-6.0,2019,1,2019-01-01
21,KY,447,yy201901,-8.7,2019,1,2019-01-01
21,KY,448,yy201901,2.2,2019,1,2019-01-01
21,KY,451,yy201901,-7.6,2019,1,2019-01-01
21,KY,452,yy201901,3.0,2019,1,2019-01-01
21,KY,453,yy201901,3.3,2019,1,2019-01-01
21,KY,TOTAL,yy201901,-0.3,2019,1,2019-01-01
22,LA,441,yy201901,-2.1,2019,1,2019-01-01
22,LA,442,yy201901,1.6,2019,1,2019-01-01
22,LA,443,yy201901,-4.3,2019,1,2019-01-01
22,LA,444,yy201901,14.1,2019,1,2019-01-01
22,LA,445,yy201901,5.2,2019,1,2019-01-01
22,LA,446,yy201901,3.1,2019,1,2019-01-01
22,LA,447,yy201901,-3.1,2019,1,2019-01-01
22,LA,448,yy201901,7.3,2019,1,2019-01-01
22,LA,451,yy201901,2.1,2019,1,2019-01-01
22,LA,452,yy201901,3.2,2019,1,2019-01-01
22,LA,453,yy201901,-6.2,2019,1,2019-01-01
22,LA,TOTAL,yy201901,1.7,2019,1,2019-01-01
23,ME,441,yy201901,3.2,2019,1,2019-01-01
23,ME,442,yy201901,-2.6,2019,1,2019-01-01
23,ME,443,yy201901,-2.0,2019,1,2019-01-01
23,ME,444,yy201901,17.2,2019,1,2019-01-01
23,ME,445,yy201901,4.9,2019,1,2019-01-01
23,ME,446,yy201901,-13.1,2019,1,2019-01-01
23,ME,447,yy201901,-0.9,2019,1,2019-01-01
23,ME,448,yy201901,-10.2,2019,1,2019-01-01
23,ME,451,yy201901,-8.3,2019,1,2019-01-01
23,ME,452,yy201901,3.7,2019,1,2019-01-01
23,ME,453,yy201901,-6.4,2019,1,2019-01-01
23,ME,TOTAL,yy201901,1.6,2019,1,2019-01-01
24,MD,441,yy201901,0.5,2019,1,2019-01-01
24,MD,442,yy201901,-1.2,2019,1,2019-01-01
24,MD,443,yy201901,-7.2,2019,1,2019-01-01
24,MD,444,yy201901,14.5,2019,1,2019-01-01
24,MD,445,yy201901,4.0,2019,1,2019-01-01
24,MD,446,yy201901,-3.7,2019,1,2019-01-01
24,MD,447,yy201901,3.6,2019,1,2019-01-01
24,MD,448,yy201901,3.2,2019,1,2019-01-01
24,MD,451,yy201901,-11.9,2019,1,2019-01-01
24,MD,452,yy201901,-0.8,2019,1,2019-01-01
24,MD,453,yy201901,-8.7,2019,1,2019-01-01
24,MD,TOTAL,yy201901,1.4,2019,1,2019-01-01
25,MA,441,yy201901,11.1,2019,1,2019-01-01
25,MA,442,yy201901,-0.8,2019,1,2019-01-01
25,MA,443,yy201901,-2.9,2019,1,2019-01-01
25,MA,444,yy201901,12.9,2019,1,2019-01-01
25,MA,445,yy201901,6.5,2019,1,2019-01-01
25,MA,446,yy201901,2.0,2019,1,2019-01-01
25,MA,447,yy201901,-18.6,2019,1,2019-01-01
25,MA,448,yy201901,3.3,2019,1,2019-01-01
25,MA,451,yy201901,-13.6,2019,1,2019-01-01
25,MA,452,yy201901,3.7,2019,1,2019-01-01
25,MA,453,yy201901,-4.4,2019,1,2019-01-01
25,MA,TOTAL,yy201901,3.6,2019,1,2019-01-01
26,MI,441,yy201901,2.9,2019,1,2019-01-01
26,MI,442,yy201901,-1.5,2019,1,2019-01-01
26,MI,443,yy201901,4.2,2019,1,2019-01-01
26,MI,444,yy201901,19.5,2019,1,2019-01-01
26,MI,445,yy201901,-4.4,2019,1,2019-01-01
26,MI,446,yy201901,-2.2,2019,1,2019-01-01
26,MI,447,yy201901,-2.2,2019,1,2019-01-01
26,MI,448,yy201901,-1.8,2019,1,2019-01-01
26,MI,451,yy201901,0.2,2019,1,2019-01-01
26,MI,452,yy201901,0.4,2019,1,2019-01-01
26,MI,453,yy201901,0.0,2019,1,2019-01-01
26,MI,TOTAL,yy201901,1.4,2019,1,2019-01-01
27,MN,441,yy201901,-2.5,2019,1,2019-01-01
27,MN,442,yy201901,0.3,2019,1,2019-01-01
27,MN,443,yy201901,6.2,2019,1,2019-01-01
27,MN,444,yy201901,11.3,2019,1,2019-01-01
27,MN,445,yy201901,3.1,2019,1,2019-01-01
27,MN,446,yy201901,14.2,2019,1,2019-01-01
27,MN,447,yy201901,-3.3,2019,1,2019-01-01
27,MN,448,yy201901,3.9,2019,1,2019-01-01
27,MN,451,yy201901,-6.9,2019,1,2019-01-01
27,MN,452,yy201901,0.0,2019,1,2019-01-01
27,MN,453,yy201901,-0.5,2019,1,2019-01-01
27,MN,TOTAL,yy201901,1.2,2019,1,2019-01-01
28,MS,441,yy201901,0.0,2019,1,2019-01-01
28,MS,442,yy201901,0.2,2019,1,2019-01-01
28,MS,443,yy201901,-4.7,2019,1,2019-01-01
28,MS,444,yy201901,12.9,2019,1,2019-01-01
28,MS,445,yy201901,10.1,2019,1,2019-01-01
28,MS,446,yy201901,-3.2,2019,1,2019-01-01
28,MS,447,yy201901,-4.3,2019,1,2019-01-01
28,MS,448,yy201901,8.6,2019,1,2019-01-01
28,MS,451,yy201901,-2.3,2019,1,2019-01-01
28,MS,452,yy201901,7.0,2019,1,2019-01-01
28,MS,453,yy201901,-1.0,2019,1,2019-01-01
28,MS,TOTAL,yy201901,2.8,2019,1,2019-01-01
29,MO,441,yy201901,-5.6,2019,1,2019-01-01
29,MO,442,yy201901,1.2,2019,1,2019-01-01
29,MO,443,yy201901,-4.5,2019,1,2019-01-01
29,MO,444,yy201901,6.1,2019,1,2019-01-01
29,MO,445,yy201901,8.2,2019,1,2019-01-01
29,MO,446,yy201901,11.0,2019,1,2019-01-01
29,MO,447,yy201901,-8.2,2019,1,2019-01-01
29,MO,448,yy201901,-2.3,2019,1,2019-01-01
29,MO,451,yy201901,3.3,2019,1,2019-01-01
29,MO,452,yy201901,-2.0,2019,1,2019-01-01
29,MO,453,yy201901,-2.6,2019,1,2019-01-01
29,MO,TOTAL,yy201901,-0.9,2019,1,2019-01-01
30,MT,441,yy201901,-0.7,2019,1,2019-01-01
30,MT,442,yy201901,1.0,2019,1,2019-01-01
30,MT,443,yy201901,17.4,2019,1,2019-01-01
30,MT,444,yy201901,10.4,2019,1,2019-01-01
30,MT,445,yy201901,2.8,2019,1,2019-01-01
30,MT,446,yy201901,7.9,2019,1,2019-01-01
30,MT,447,yy201901,-9.0,2019,1,2019-01-01
30,MT,448,yy201901,4.3,2019,1,2019-01-01
30,MT,451,yy201901,-7.4,2019,1,2019-01-01
30,MT,452,yy201901,5.6,2019,1,2019-01-01
30,MT,453,yy201901,-4.4,2019,1,2019-01-01
30,MT,TOTAL,yy201901,0.6,2019,1,2019-01-01
31,NE,441,yy201901,12.7,2019,1,2019-01-01
31,NE,442,yy201901,1.7,2019,1,2019-01-01
31,NE,443,yy201901,-2.0,2019,1,2019-01-01
31,NE,444,yy201901,12.3,2019,1,2019-01-01
31,NE,445,yy201901,5.5,2019,1,2019-01-01
31,NE,446,yy201901,10.9,2019,1,2019-01-01
31,NE,447,yy201901,3.6,2019,1,2019-01-01
31,NE,448,yy201901,0.0,2019,1,2019-01-01
31,NE,451,yy201901,-2.3,2019,1,2019-01-01
31,NE,452,yy201901,1.0,2019,1,2019-01-01
31,NE,453,yy201901,-3.8,2019,1,2019-01-01
31,NE,TOTAL,yy201901,6.1,2019,1,2019-01-01
32,NV,441,yy201901,-1.4,2019,1,2019-01-01
32,NV,442,yy201901,1.9,2019,1,2019-01-01
32,NV,443,yy201901,-4.6,2019,1,2019-01-01
32,NV,444,yy201901,13.1,2019,1,2019-01-01
32,NV,445,yy201901,4.9,2019,1,2019-01-01
32,NV,446,yy201901,10.4,2019,1,2019-01-01
32,NV,447,yy201901,-6.9,2019,1,2019-01-01
32,NV,448,yy201901,0.7,2019,1,2019-01-01
32,NV,451,yy201901,-9.0,2019,1,2019-01-01
32,NV,452,yy201901,0.1,2019,1,2019-01-01
32,NV,453,yy201901,-0.1,2019,1,2019-01-01
32,NV,TOTAL,yy201901,1.0,2019,1,2019-01-01
33,NH,441,yy201901,-1.7,2019,1,2019-01-01
33,NH,442,yy201901,-1.0,2019,1,2019-01-01
33,NH,443,yy201901,-3.7,2019,1,2019-01-01
33,NH,444,yy201901,12.9,2019,1,2019-01-01
33,NH,445,yy201901,0.7,2019,1,2019-01-01
33,NH,446,yy201901,-6.8,2019,1,2019-01-01
33,NH,447,yy201901,-10.6,2019,1,2019-01-01
33,NH,448,yy201901,2.8,2019,1,2019-01-01
33,NH,451,yy201901,-10.8,2019,1,2019-01-01
33,NH,452,yy201901,-0.6,2019,1,2019-01-01
33,NH,453,yy201901,-4.9,2019,1,2019-01-01
33,NH,TOTAL,yy201901,-1.1,2019,1,2019-01-01
34,NJ,441,yy201901,1.3,2019,1,2019-01-01
34,NJ,442,yy201901,-0.2,2019,1,2019-01-01
34,NJ,443,yy201901,-1.6,2019,1,2019-01-01
34,NJ,444,yy201901,13.8,2019,1,2019-01-01
34,NJ,445,yy201901,5.3,2019,1,2019-01-01
34,NJ,446,yy201901,-3.0,2019,1,2019-01-01
34,NJ,447,yy201901,-3.6,2019,1,2019-01-01
34,NJ,448,yy201901,3.9,2019,1,2019-01-01
34,NJ,451,yy201901,-19.9,2019,1,2019-01-01
34,NJ,452,yy201901,2.4,2019,1,2019-01-01
34,NJ,453,yy201901,-1.9,2019,1,2019-01-01
34,NJ,TOTAL,yy201901,2.2,2019,1,2019-01-01
35,NM,441,yy201901,-1.7,2019,1,2019-01-01
35,NM,442,yy201901,-4.6,2019,1,2019-01-01
35,NM,443,yy201901,-4.8,2019,1,2019-01-01
35,NM,444,yy201901,11.0,2019,1,2019-01-01
35,NM,445,yy201901,4.7,2019,1,2019-01-01
35,NM,446,yy201901,11.6,2019,1,2019-01-01
35,NM,447,yy201901,-13.6,2019,1,2019-01-01
35,NM,448,yy201901,1.8,2019,1,2019-01-01
35,NM,451,yy201901,-7.3,2019,1,2019-01-01
35,NM,452,yy201901,1.6,2019,1,2019-01-01
35,NM,453,yy201901,-14.3,2019,1,2019-01-01
35,NM,TOTAL,yy201901,-1.5,2019,1,2019-01-01
