fips,stateabbr,naics,month_code,standard_error,year,month_number,date
11,DC,448,se201901,8.6,2019,1,2019-01-01
11,DC,451,se201901,23.9,2019,1,2019-01-01
11,DC,452,se201901,14.8,2019,1,2019-01-01
11,DC,453,se201901,8.6,2019,1,2019-01-01
11,DC,TOTAL,se201901,0.2,2019,1,2019-01-01
12,FL,441,se201901,2.0,2019,1,2019-01-01
12,FL,442,se201901,2.7,2019,1,2019-01-01
12,FL,443,se201901,4.8,2019,1,2019-01-01
12,FL,444,se201901,2.7,2019,1,2019-01-01
12,FL,445,se201901,1.0,2019,1,2019-01-01
12,FL,446,se201901,0.9,2019,1,2019-01-01
12,FL,447,se201901,1.7,2019,1,2019-01-01
12,FL,448,se201901,2.5,2019,1,2019-01-01
12,FL,451,se201901,7.7,2019,1,2019-01-01
12,FL,452,se201901,1.5,2019,1,2019-01-01
12,FL,453,se201901,4.2,2019,1,2019-01-01
12,FL,TOTAL,se201901,0.7,2019,1,2019-01-01
13,GA,441,se201901,2.8,2019,1,2019-01-01
13,GA,442,se201901,4.2,2019,1,2019-01-01
13,GA,443,se201901,6.7,2019,1,2019-01-01
13,GA,444,se201901,3.3,2019,1,2019-01-01
13,GA,445,se201901,2.5,2019,1,2019-01-01
13,GA,446,se201901,1.1,2019,1,2019-01-01
13,GA,447,se201901,2.3,2019,1,2019-01-01
13,GA,448,se201901,3.3,2019,1,2019-01-01
13,GA,451,se201901,7.2,2019,1,2019-01-01
13,GA,452,se201901,1.7,2019,1,2019-01-01
13,GA,453,se201901,3.8,2019,1,2019-01-01
13,GA,TOTAL,se201901,1.0,2019,1,2019-01-01
15,HI,441,se201901,5.7,2019,1,2019-01-01
15,HI,442,se201901,9.2,2019,1,2019-01-01
15,HI,443,se201901,19.4,2019,1,2019-01-01
15,HI,444,se201901,3.1,2019,1,2019-01-01
15,HI,445,se201901,4.8,2019,1,2019-01-01
15,HI,446,se201901,3.2,2019,1,2019-01-01
15,HI,447,se201901,7.0,2019,1,2019-01-01
15,HI,448,se201901,5.5,2019,1,2019-01-01
15,HI,451,se201901,16.9,2019,1,2019-01-01
15,HI,452,se201901,12.0,2019,1,2019-01-01
15,HI,453,se201901,5.4,2019,1,2019-01-01
15,HI,TOTAL,se201901,2.8,2019,1,2019-01-01
16,ID,441,se201901,6.3,2019,1,2019-01-01
